customer_id,first_name,last_name,dob_raw,email,phone
CUST001,Donald,Moreno,10-04-1998,wardvanessa@gmail.com,909.588.4786x7867
CUST002,Laura,Jones,30-12-2001,bradleywright@hotmail.com,630.479.0334
CUST003,Alan,Meyers,20-07-1944,fordjennifer@gmail.com,001-561-883-3308
CUST004,Kelly,Taylor,19-01-1954,richard46@yahoo.com,001-498-885-9983x22239
CUST005,Jason,Scott,01-05-1959,willie26@yahoo.com,001-369-370-9521x347
CUST006,Danielle,Cardenas,22-08-1973,wujenna@hotmail.com,001-239-614-9936x78173
CUST007,Wendy,Harrington,04-09-1990,burtonbrittany@hotmail.com,+1-259-592-7534
CUST008,Katie,Smith,23-12-2003,xrodriguez@yahoo.com,(760)643-5720
CUST009,Jennifer,Brooks,05-08-1970,jamesodom@hotmail.com,748.552.1202
CUST010,Laura,Thomas,10-04-1986,barbaradominguez@hotmail.com,(963)259-1930x39712
CUST011,John,Gutierrez,20-02-1977,fuentesjoanna@hotmail.com,+1-966-565-7066
CUST012,Christina,Kidd,17-10-1968,curryscott@hotmail.com,001-914-679-9763
CUST013,Denise,Taylor,20-04-2000,schmittjessica@gmail.com,001-523-215-4351x9488
CUST014,Cory,Hall,19-05-1940,aclarke@hotmail.com,001-310-888-3146x52097
CUST015,Michael,Combs,10-04-1959,douglasrodgers@gmail.com,646-565-3506x9513
CUST016,Scott,Harris,18-07-1945,seth21@yahoo.com,9766455346
CUST017,Maria,Randolph,12-12-1942,vmartin@hotmail.com,(319)497-5685x403
CUST018,Sarah,Lopez,09-07-1970,sarahrubio@yahoo.com,+1-627-941-4081x354
CUST019,Anthony,Wilson,05-04-1970,bryanjohnson@hotmail.com,+1-343-386-4702x1644
CUST020,Paul,Randolph,09-08-1989,jnelson@hotmail.com,455-252-5562
CUST021,Jeffrey,Lewis,10-07-1966,daniellewong@gmail.com,491-538-2805x97034
CUST022,Jasmine,Nelson,03-08-1980,frankbradley@gmail.com,4274894739
CUST023,William,Powell,04-01-1958,kmann@gmail.com,592.285.4889x704
CUST024,Katelyn,Norris,15-02-1961,abigail98@yahoo.com,001-888-900-5267x856
CUST025,Jeremy,Lopez,16-02-2001,margaret08@gmail.com,674.693.5466x3594
CUST026,Michael,Smith,31-12-1965,rhonda24@hotmail.com,+1-904-490-6451x610
CUST027,Jennifer,Smith,05-09-2006,derrickcooper@gmail.com,995.732.0286x8778
CUST028,Taylor,Thomas,29-07-1949,annashepard@gmail.com,(630)398-5080
CUST029,Randy,Harrison,28-03-1987,robinsonmark@gmail.com,(571)731-1206x8880
CUST030,Joshua,James,08-02-2000,brownstacy@gmail.com,855-688-3450x033
CUST031,Robert,Aguilar,15-04-1968,smiththeresa@hotmail.com,538.504.9699x423
CUST032,Kelly,Scott,20-06-1940,huangemily@gmail.com,713-673-8260x553
CUST033,Gregory,Miller,22-03-1981,ashleyeaton@gmail.com,610.922.5117
CUST034,Edward,King,19-05-1956,umitchell@yahoo.com,001-538-441-4118x55816
CUST035,Eric,Lopez,26-06-1972,christopher54@hotmail.com,(275)238-8293x1138
CUST036,Derek,Wallace,28-09-1941,alvarezlarry@yahoo.com,001-246-927-0640x289
CUST037,Robert,Griffith,06-12-1965,fdaniels@yahoo.com,682-306-8942x887
CUST038,Diana,Daniels,27-08-2001,jonessarah@yahoo.com,+1-878-441-1639x02362
CUST039,Renee,Garcia,30-08-1959,diazgeorge@gmail.com,4485253732
CUST040,Philip,Humphrey,15-01-1995,kevin11@hotmail.com,+1-215-662-7351x119
CUST041,David,Cohen,16-07-2002,yrichardson@gmail.com,830.403.5942
CUST042,Shannon,Cole,23-05-1959,kennethturner@hotmail.com,500.231.0946
CUST043,Kelly,Evans,28-06-1968,bryannewton@yahoo.com,(653)568-0609
CUST044,Shaun,Patterson,08-11-1986,mwarren@hotmail.com,(343)880-7671x14929
CUST045,Kathleen,Peterson,26-01-2001,helenkennedy@yahoo.com,8005853760
CUST046,Ronald,Joseph,19-11-1965,christopher71@hotmail.com,974.526.6021
CUST047,Jose,Williams,26-04-1977,webbmark@hotmail.com,001-728-548-3241x11315
CUST048,Mary,Fox,17-05-1940,warnerjackie@yahoo.com,733.392.1500x48280
CUST049,Cameron,Lucas,08-03-1976,lawrence74@hotmail.com,001-458-492-0521x205
CUST050,John,Brown,29-06-1966,muellerandrew@gmail.com,(830)501-4776x5941
CUST051,Matthew,Russell,07-01-1965,johnanderson@gmail.com,+1-437-757-9231x718
CUST052,Jennifer,Richardson,20-09-1943,mmcneil@hotmail.com,(264)911-2628x95321
CUST053,Cassie,Scott,24-10-1947,scaldwell@gmail.com,942.402.9129
CUST054,Don,Holt,22-01-2006,millerregina@gmail.com,420.773.1810
CUST055,John,Torres,28-10-2003,heather46@gmail.com,702.661.1182x2353
CUST056,Kayla,Cherry,04-06-1963,christianolson@gmail.com,(971)761-1735
CUST057,Luke,Montgomery,20-10-1952,tina95@yahoo.com,460.670.8868
CUST058,Tracy,Oneal,26-12-1967,cathybishop@gmail.com,001-870-320-7828x114
CUST059,Valerie,Hernandez,31-12-1995,jamesmatthews@yahoo.com,761-884-8039x4593
CUST060,Kimberly,Sosa,14-12-1972,jaclynpope@yahoo.com,555.371.0623
CUST061,Jessica,Ellis,20-08-1943,matthew61@yahoo.com,(285)324-7571
CUST062,Cheryl,Taylor,25-08-1970,debra63@yahoo.com,747-502-6043
CUST063,Joan,Horton,04-10-1975,tfoster@yahoo.com,+1-939-402-2704x031
CUST064,Matthew,Potter,26-07-1953,nguyenthomas@gmail.com,8935161992
CUST065,Charles,Edwards,29-08-1982,david89@gmail.com,7724189318
CUST066,Jim,Perez,25-02-1941,michellemora@gmail.com,(930)226-5391x6903
CUST067,Tracey,Woods,04-01-1989,moodywilliam@yahoo.com,001-435-268-7140
CUST068,Elizabeth,Logan,25-01-1983,wthompson@yahoo.com,001-801-897-5822
CUST069,Sean,Martinez,22-08-1953,hwhitaker@gmail.com,312-929-5649x345
CUST070,Jennifer,Gregory,12-04-1989,gordondanielle@yahoo.com,754-807-6381
CUST071,Robin,Rosales,15-08-1999,lmora@gmail.com,374-358-0042x5448
CUST072,Benjamin,Stewart,05-09-1971,huertajaime@yahoo.com,(736)934-7279x0133
CUST073,Amanda,Farrell,18-11-1984,robinsondavid@hotmail.com,543-251-6071x04160
CUST074,Nicole,Scott,09-10-1979,charles66@hotmail.com,232.416.6351
CUST075,Allison,Burch,18-04-1948,jacobdaniels@yahoo.com,(671)982-1575x1198
CUST076,Cynthia,Cain,24-10-1981,adam09@yahoo.com,001-928-711-3218x0030
CUST077,Kathy,Wall,17-04-1983,tammyharvey@hotmail.com,605.760.0926x06287
CUST078,Robin,Haney,27-04-2004,chudson@gmail.com,+1-591-969-0737x50126
CUST079,Michael,Simmons,20-06-1965,barbara64@yahoo.com,001-692-840-8626
CUST080,Michael,Brown,28-04-1980,knelson@hotmail.com,306-621-3644x552
CUST081,Patricia,Mckay,17-11-1945,luis24@yahoo.com,300-806-1847x137
CUST082,Christian,Briggs,01-02-2004,brownjames@hotmail.com,7815532621
CUST083,Jacob,Haas,18-06-1941,brianprice@hotmail.com,001-358-392-6447x0608
CUST084,Jason,Aguilar,28-05-1966,mhuynh@hotmail.com,+1-494-904-8561x0655
CUST085,Eric,Woodward,13-03-1970,hunter87@hotmail.com,+1-880-813-6129x862
CUST086,Eric,Dennis,10-03-1956,keithrussell@gmail.com,+1-533-653-5235
CUST087,Amanda,Waller,03-06-1991,hawkinspeter@yahoo.com,502.265.4693
CUST088,Samantha,Beck,29-11-2003,bradmerritt@gmail.com,904.728.1673x088
CUST089,Isaac,Wilson,07-12-1990,angelaramsey@hotmail.com,264.627.0164x086
CUST090,Brittany,Cunningham,09-03-1984,michellewade@hotmail.com,421-768-5027
CUST091,Adam,Ward,31-07-1996,monica31@yahoo.com,(793)270-4887x24899
CUST092,Justin,Hunt,11-05-1941,andrewsweeney@hotmail.com,+1-858-922-7915x3629
CUST093,Aaron,Keith,04-11-1973,mathewsjennifer@yahoo.com,617-217-3268x3489
CUST094,Ryan,Wright,18-04-1990,kevinholmes@hotmail.com,265.464.4253
CUST095,Meagan,Herrera,22-12-1955,charleswilson@hotmail.com,897.935.2435
CUST096,Joshua,Johnson,25-07-1984,paula89@yahoo.com,001-477-491-6175x58419
CUST097,Justin,Atkins,23-07-1949,edwardrowe@yahoo.com,+1-210-867-1901x916
CUST098,Robin,Lucas,14-08-1950,gordontiffany@hotmail.com,557.265.2701x0204
CUST099,Kristen,Johnston,21-06-1970,ehall@yahoo.com,(602)824-5532x618
CUST100,Kimberly,Atkinson,11-07-1997,qross@yahoo.com,001-523-343-1610x1986
CUST101,Sarah,Cox,12-11-1955,irojas@hotmail.com,001-507-467-2748x077
CUST102,Kimberly,Knight,26-08-1943,ojohnson@gmail.com,(674)716-7767x437
CUST103,Dustin,Crawford,19-09-1976,slewis@gmail.com,(200)203-3000
CUST104,Vincent,Oconnell,08-06-1999,michellebooth@gmail.com,626-567-7491x13490
CUST105,Logan,Campbell,02-09-1968,qcortez@yahoo.com,621.271.0775x4166
CUST106,Dominic,Smith,16-01-2006,jcruz@hotmail.com,+1-644-920-1347x459
CUST107,Brian,Bell,23-03-1970,smarquez@yahoo.com,(968)780-1044x31519
CUST108,Deborah,Chapman,03-11-1985,yangcurtis@yahoo.com,857-207-8169
CUST109,Andre,Macias,05-07-1991,laura49@gmail.com,731-695-0742x79438
CUST110,Stacey,Gibson,08-04-1967,leonard29@hotmail.com,(463)743-4958x767
CUST111,Mary,Hansen,15-03-2000,zfoster@yahoo.com,(237)856-8970
CUST112,William,Williams,07-05-1944,annperry@yahoo.com,001-823-912-0232x7920
CUST113,Jack,Castaneda,17-07-2005,mccoycarl@hotmail.com,+1-577-971-3458x270
CUST114,Charles,Cooper,22-08-2001,jessica11@gmail.com,3332582341
CUST115,Brian,Cochran,03-06-1973,judy27@hotmail.com,(503)375-1119
CUST116,Jessica,Wells,15-04-1974,osalazar@gmail.com,292.477.3285x86571
CUST117,Andrea,Stanton,28-12-1945,dallison@yahoo.com,(862)403-1125
CUST118,Stephanie,White,11-03-1996,lstephens@hotmail.com,+1-218-317-5958x753
CUST119,Christopher,Edwards,19-12-1945,ginahale@hotmail.com,393.899.9940x422
CUST120,Matthew,Goodwin,09-12-1969,heatherjohnson@gmail.com,001-304-750-8406x478
CUST121,Carrie,Medina,24-05-1953,whitelaura@gmail.com,001-450-964-6335
CUST122,Laura,Gonzalez,26-06-1955,melissacruz@hotmail.com,479.724.2324x81874
CUST123,Tyler,Khan,21-06-1958,villanuevakathryn@gmail.com,5843286454
CUST124,Angela,Humphrey,08-04-2008,carmensloan@gmail.com,+1-233-249-1779x3349
CUST125,Todd,Jones,10-07-1999,frankpeterson@gmail.com,475-465-1292
CUST126,Sheri,Ayala,20-09-2004,david59@hotmail.com,001-272-625-7267x548
CUST127,Ariana,Lindsey,19-02-2007,villakim@yahoo.com,596.261.3343
CUST128,Abigail,Davis,08-10-2005,deanna97@yahoo.com,9662445040
CUST129,Courtney,Perez,09-01-2006,heatherchurch@yahoo.com,757-461-7428x51721
CUST130,Becky,Evans,17-01-1990,christopher34@yahoo.com,001-556-752-7973
CUST131,Amy,Hardy,05-02-1981,timothydalton@gmail.com,434-261-7958
CUST132,Alexandra,Parker,03-11-2007,davieseric@gmail.com,(940)239-2672x721
CUST133,Katie,Webb,20-08-2005,andrewtucker@yahoo.com,001-659-447-2078x4081
CUST134,Amber,Roman,11-02-1984,michaelrodriguez@hotmail.com,791.838.8300x451
CUST135,Matthew,Oconnor,16-07-1967,cantutracy@hotmail.com,001-724-445-7703x575
CUST136,Emily,Mosley,04-09-1953,kevinosborne@gmail.com,(530)857-0486x0461
CUST137,Erin,Sanchez,08-07-1945,contrerasrobert@gmail.com,(317)790-5280x776
CUST138,Natasha,Kennedy,15-01-1960,fmay@yahoo.com,928.270.8396x1224
CUST139,Andrew,Sanchez,16-12-2000,uromero@yahoo.com,+1-814-427-0473x3779
CUST140,Howard,Perez,10-06-1965,ian50@gmail.com,355.952.8688
CUST141,Anthony,Cooke,30-05-1949,julia83@hotmail.com,288-820-9011x0501
CUST142,Jennifer,Costa,13-01-2000,hdawson@gmail.com,885.674.9131x78117
CUST143,Jason,Jimenez,12-08-1952,anthonygreen@gmail.com,315.840.3991
CUST144,Kelsey,Ortiz,02-05-1963,christopher20@hotmail.com,765.988.1597x434
CUST145,Adam,Vargas,02-06-2003,dianacruz@yahoo.com,+1-400-475-4381x502
CUST146,Cindy,Clayton,15-03-1972,astone@gmail.com,847-908-1633
CUST147,Jennifer,Aguilar,17-10-1955,delgadocole@gmail.com,+1-949-867-8029x4197
CUST148,Daniel,Turner,04-01-1965,deborahdodson@yahoo.com,639-333-0464
CUST149,Barbara,Long,20-08-1941,lpetersen@yahoo.com,(643)729-6724x85677
CUST150,Wayne,Butler,21-12-1953,brian26@yahoo.com,357.766.8002
CUST151,William,Bond,29-06-1978,ifarmer@hotmail.com,001-690-639-4928x21222
CUST152,Nicole,Williams,01-09-1985,lauragross@hotmail.com,(960)204-1684x6235
CUST153,Randall,Dawson,19-03-1979,kevin60@yahoo.com,+1-677-524-7666x879
CUST154,Denise,Mccoy,24-08-1978,kathymacias@hotmail.com,621-742-2424x20333
CUST155,Whitney,Thomas,04-11-1960,susan68@gmail.com,862-380-3015
CUST156,Joseph,Watson,06-06-1978,gperez@yahoo.com,(521)403-9064x7371
CUST157,Travis,Nunez,28-03-1972,melvin12@yahoo.com,854-337-9027x39823
CUST158,Matthew,Hull,11-10-1981,cpalmer@hotmail.com,813.554.6412x56999
CUST159,Kimberly,Schroeder,07-01-1996,geraldmiller@yahoo.com,613-513-7524x86777
CUST160,Maureen,Barrera,27-10-1998,wbright@yahoo.com,(549)683-7365x7375
CUST161,Jeffrey,Hall,03-07-1942,nlarson@gmail.com,+1-697-549-4289x63081
CUST162,Nicholas,Moses,18-08-1987,daltonwade@hotmail.com,470-280-3839x0970
CUST163,Jamie,Pollard,17-05-1964,smithjoshua@gmail.com,+1-470-360-4762x717
CUST164,Robert,Sullivan,14-03-1985,danieljordan@yahoo.com,(786)755-2136x9857
CUST165,Gary,Vega,23-10-2002,rperez@hotmail.com,830.914.8864x8451
CUST166,Jack,Hall,12-04-1979,serickson@hotmail.com,633-339-3942x60358
CUST167,John,Sullivan,28-03-1992,morrisjoseph@hotmail.com,(384)689-2613x4350
CUST168,Samuel,Dixon,09-07-1961,sanchezalexandra@gmail.com,(938)472-2802x1445
CUST169,George,Clark,23-10-1940,lperry@yahoo.com,(865)634-2881x8095
CUST170,Chelsey,Chang,26-10-2000,summerschristopher@hotmail.com,811-752-1847x86424
